Data Dictionary names available in the Instrument Interface (Build 2025X)

Format:
Name                             Type    Units   Description

If Name starts with 'S_' it means there are two names, one for the left side, and
one for the right side. The left side name will start with 'L_' and the right side
name with 'R_'. For example

S_MODSBlueCCDTemp                float   C       Blue camera CCD detector mount temperature

means there are two names, one for each side:

L_MODSBlueCCDTemp                float   C       Blue camera CCD detector mount temperature
R_MODSBlueCCDTemp                float   C       Blue camera CCD detector mount temperature

        [Telescope temperature sensors]
Temp201                          float   C       C ring middle steel temperature
Temp202                          float   C       C ring middle air temperature
Temp203                          float   C       C ring upper steel temperature
Temp204                          float   C       C ring upper air temperature
Temp205                          float   C       C ring lower steel temperature
Temp206                          float   C       C ring lower air temperature
Temp207                          float   C       Wind bracing lower right steel temperature
Temp208                          float   C       Wind bracing lower right air temperature
Temp209                          float   C       Mirror cell lower right steel temperature
Temp210                          float   C       Mirror cell lower right air temperature
Temp301                          float   C       C ring right extension steel temperature
Temp302                          float   C       C ring right extension air temperature
Temp303                          float   C       C ring left extension steel temperature
Temp304                          float   C       C ring left extension air temperature
Temp305                          float   C       Wind bracing upper steel temperature
Temp306                          float   C       Wind bracing upper air temperature
Temp307                          float   C       Wind bracing middle right steel temperature
Temp308                          float   C       Wind bracing middle right air temperature
Temp309                          float   C       Wind bracing middle left steel temperature
Temp310                          float   C       Wind bracing middle left air temperature
Temp401                          float   C       right primary swing arm steel temperature 1
Temp402                          float   C       right primary swing arm steel temperature 2
Temp403                          float   C       left primary swing arm steel temperature 1
Temp404                          float   C       left primary swing arm steel temperature 2
Temp405                          float   C       right secondary swing arm steel temperature 1
Temp406                          float   C       right secondary swing arm steel temperature 2
Temp407                          float   C       left secondary swing arm steel temperature 1
Temp408                          float   C       left secondary swing arm steel temperature 2
ChamberTemp                      float   C       Chamber temperature
ChamberDewPoint                  float   C       Chamber dewpoint
HBPumpOffWarning                 bool    ---     True if HBS pump is off (not running)
HBTempOutOfRangeWarning          bool    ---     True if difference of 5 degC between return and setpoint oil temperature occurs after five minutes
