Proposed New MODS Data Dictionary Names

R. Pogge, OSU Astronomy, 2025 July 20

MODS instrument configuration data missing from the TCS IIF Data Dictionary table for Build 2024A (version
on the LBT GitHub (iif/configuration/IIF/DDNames)


Name                             Type    Units   Description

        [MODS data]
S_MODSMODE                       string  ---     Instrument Mode (CALMODE or OBSMODE)
S_MODSAGWXPos                    float   mm      AGW Stage X actuator position 
S_MODSAGWYPos                    float   mm      AGW Stage Y actuator position 
S_MODSAGWFPos                    float   mm      AGW Stage Focus actuator position 
S_MODSAGWFilterName              string  ---     AGW Guide Camera Filter Name
S_MODSMaskSelected               int     ---     Slit Mask Cassette mask slot position selected
S_MODSMaskPosition               string  ---     Slit Mask position relative to the MODS focal plane (In/Out)
S_MODSDichroicPosition           int     ---     Dichroic Turret Position selected
S_MODSDichroicName               string  ---     Dichroic Turret Optic Name (Dichroic/Red Fold/Open)
S_MODSBlueCollTTFA               float   micron  Blue Collimator Mirror Tip/Tilt/Focus actuator A position
S_MODSBlueCollTTFB               float   micron  Blue Collimator Mirror Tip/Tilt/Focus actuator B position
S_MODSBlueCollTTFC               float   micron  Blue Collimator Mirror Tip/Tilt/Focus actuator C position
S_MODSBlueCollFocus              float   micron  Blue Collimator Focus position (TTFA+TTFB+TTFC)
S_MODSBlueGratingPosition        int     ---     Blue Grating Turret position (number 1..4)
S_MODSBlueCameraFocus            float   micron  Blue Camera Focus [microns]
S_MODSBlueFilterPosition         int     ---     Blue Camera Filter Wheel position (number 1..8)
S_MODSBlueVacuumGaugePower       string  ---     Blue Dewar Vacuum Ionization Gauge DC Power (on/off)
S_MODSBlueArchonPower            string  ---     Blue Archon CCD Controller AC Power (on/off)
S_MODSRedCollTTFA                float   micron  Red Collimator Mirror Tip/Tilt/Focus actuator A position
S_MODSRedCollTTFB                float   micron  Red Collimator Mirror Tip/Tilt/Focus actuator B position
S_MODSRedCollTTFC                float   micron  Red Collimator Mirror Tip/Tilt/Focus actuator C position
S_MODSRedCollFocus               float   micron  Red Collimator Focus position (TTFA+TTFB+TTFC)
S_MODSRedGratingPosition         int     ---     Red Grating Turret position (number 1..4)
S_MODSRedCameraFocus             float   micron  Red Camera Focus [microns]
S_MODSRedFilterPosition          int     ---     Red Camera Filter Wheel position (number 1..8)
S_MODSRedVacuumGaugePower        string  ---     Red Dewar Vacuum Ionization Gauge DC Power (on/off)
S_MODSRedArchonPower             string  ---     Red Archon CCD Controller AC Power (on/off)
S_MODSCalibLamps                 string  ---     Calibration lamps turned ON (None if all off)
S_MODSVFLATIntensity             float   ---     Variable Intensity Flat Field Lamp Intensity
S_MODSIMCSLaserBeam              string  ---     IMCS IR Laser beam output state (enabled/disabled)
S_MODSIMCSLaserPower             float   mW      IMCS IR Laser emitted beam power 
S_MODSIMCSLaserTemp              float   C       IMCS IR Laser Head Temperature
S_MODSTopAirTemp                 float   C       Enclosure Inside Air Temp at Top
S_MODSBottomAirTemp              float   C       Enclosure Inside Air Temp at Bottom
S_MODSTrussTopTemp               float   C       Collimator Mirror Truss Tube Top Temp
S_MODSTrussBottomTemp            float   C       Collimator Mirror Truss Tube Bottom Temp
